timestamp,lon,lat,temperature,deviceRef
2026-06-15 09:15:43.482,2.18797,41.435312,32.0,217475
2026-06-15 09:37:33.529,2.187962,41.435324,31.7,217475
2026-06-15 09:38:07.509,2.187956,41.435328,31.8,217475
2026-06-15 09:45:12.814,2.187937,41.435312,32.5,217475
2026-06-15 10:06:33.327,2.188011,41.43532,32.7,217475
2026-06-15 10:07:07.707,2.188005,41.43532,33.1,217475
2026-06-15 10:49:18.203,2.188189,41.435248,32.8,217475
2026-06-15 10:49:52.403,2.192325,41.435236,32.6,217475
2026-06-15 11:04:16.375,2.18798,41.4353,31.9,217475
2026-06-15 11:24:12.754,2.187915,41.435384,35.5,217475
2026-06-15 11:24:46.954,2.187914,41.435324,32.2,217475
2026-06-15 11:31:03.432,2.187975,41.435252,31.3,217475
2026-06-15 11:31:37.652,2.187983,41.435216,31.0,217475
2026-06-15 11:52:30.633,2.187927,41.435332,31.9,217475
2026-06-15 12:41:09.529,2.18799,41.435292,31.5,217475
2026-06-15 12:41:43.729,2.187987,41.435292,31.1,217475
2026-06-15 13:03:06.639,2.188008,41.435252,31.6,217475
2026-06-15 13:29:56.647,2.188,41.435288,31.6,217475
2026-06-15 13:30:30.630,2.188027,41.435288,32.7,217475
2026-06-15 13:51:08.630,2.188147,41.435304,31.6,217475
2026-06-15 13:51:42.650,2.188171,41.435308,32.0,217475
2026-06-15 14:12:09.555,2.187944,41.435256,33.4,217475
2026-06-15 14:12:43.535,2.187938,41.43526,33.6,217475
2026-06-15 14:39:38.486,2.18795,41.435396,33.2,217475
2026-06-15 14:40:12.886,2.187952,41.435388,33.4,217475
2026-06-15 15:00:57.566,2.187932,41.435332,31.1,217475
2026-06-15 15:01:31.566,2.187931,41.43534,32.1,217475
2026-06-15 15:50:09.327,2.187992,41.435232,30.9,217475
2026-06-15 15:50:43.527,2.18799,41.43524,30.6,217475
2026-06-15 16:18:03.319,2.187909,41.435316,30.6,217475
2026-06-15 16:18:37.719,2.187904,41.435316,30.8,217475
2026-06-15 16:24:56.995,2.187951,41.435284,30.0,217475
2026-06-15 16:53:03.514,2.187983,41.435304,30.3,217475
2026-06-15 16:53:37.714,2.187955,41.435312,30.5,217475
2026-06-15 17:51:02.432,2.187935,41.435312,29.6,217475
2026-06-15 17:51:36.832,2.187933,41.435312,29.7,217475
2026-06-15 17:58:14.859,2.187955,41.435288,25.6,217475
2026-06-15 17:58:14.859,2.187955,41.435288,25.6,217475
